pair,corr,beta,coint_p,adf_p,half_life,hurst,z_now,PASS,note
V/MA,0.987,0.993,0.0137,0.003,30.0,0.385,1.68,YES,
EWA/EWC,0.956,0.624,0.0245,0.0058,34.9,0.408,0.68,YES,
GS/MS,0.987,1.196,0.0367,0.0093,44.4,0.374,-1.42,YES,
SPY/IVV,1.0,0.995,0.1771,0.0638,1.1,0.044,0.29,no,
HD/LOW,0.944,0.892,0.1432,0.0485,54.1,0.435,1.42,no,
USO/XLE,0.935,0.803,0.2299,0.0912,58.8,0.464,-1.61,no,
MAR/HLT,0.984,0.934,0.1478,0.0505,63.1,0.448,-0.59,no,
AZO/ORLY,0.983,0.944,0.2845,0.1188,68.3,0.37,0.49,no,
XOM/CVX,0.975,1.434,0.0911,0.0277,80.4,0.424,1.8,no,
GLD/GDX,0.952,0.78,0.3332,0.1462,88.4,0.415,-1.08,no,
UPS/FDX,-0.355,-0.375,0.3345,0.1478,90.9,0.417,-0.47,no,
GLD/SLV,0.943,0.806,0.4984,0.2624,97.1,0.437,1.33,no,
XLE/XOP,0.972,1.071,0.5368,0.2939,102.7,0.431,1.41,no,
CAT/DE,0.857,1.755,0.7349,0.5013,129.6,0.506,0.06,no,
GDX/GDXJ,0.989,0.934,0.4308,0.2107,140.2,0.393,0.41,no,
XLF/KRE,0.646,0.776,0.9049,0.7574,540.3,0.51,1.03,no,
KO/PEP,0.488,0.742,0.9886,0.9714,,0.505,0.09,no,
CVS/WBA,,,,,,,,,only 0 bars
