trade_start,trade_end,n_universe,trades,cycle_ret_committed_%
2005-01-03,2005-07-01,54,20,-2.4
2005-07-05,2005-12-30,54,32,2.06
2006-01-03,2006-07-03,54,31,-1.52
2006-07-05,2007-01-03,54,30,4.0
2007-01-04,2007-07-05,54,26,-0.02
2007-07-06,2008-01-03,55,34,-16.96
2008-01-04,2008-07-03,55,33,-1.4
2008-07-07,2009-01-02,55,28,-4.95
2009-01-05,2009-07-06,55,25,7.14
2009-07-07,2010-01-04,56,18,0.45
2010-01-05,2010-07-06,56,27,1.85
2010-07-07,2011-01-03,56,23,-1.38
2011-01-04,2011-07-05,56,22,3.03
2011-07-06,2012-01-03,56,22,-4.12
2012-01-04,2012-07-03,56,29,0.32
2012-07-05,2013-01-04,56,24,3.0
2013-01-07,2013-07-08,56,27,0.16
2013-07-09,2014-01-06,56,25,-0.28
2014-01-07,2014-07-08,56,30,2.28
2014-07-09,2015-01-06,56,32,-0.48
2015-01-07,2015-07-08,56,30,1.85
2015-07-09,2016-01-06,56,29,1.58
2016-01-07,2016-07-07,56,34,2.2
2016-07-08,2017-01-05,56,25,-0.64
2017-01-06,2017-07-07,56,29,-2.97
2017-07-10,2018-01-05,56,36,2.85
2018-01-08,2018-07-09,56,30,-2.23
2018-07-10,2019-01-08,56,34,0.75
2019-01-09,2019-07-10,56,27,-2.55
2019-07-11,2020-01-08,56,23,-1.38
2020-01-09,2020-07-09,56,40,-2.88
2020-07-10,2021-01-07,56,25,1.99
2021-01-08,2021-07-09,56,25,0.45
2021-07-12,2022-01-06,56,25,-2.99
2022-01-07,2022-07-11,56,29,-3.68
2022-07-12,2023-01-09,56,29,6.84
2023-01-10,2023-07-12,56,21,-0.93
2023-07-13,2024-01-10,56,20,-1.83
2024-01-11,2024-07-12,56,25,-3.37
2024-07-15,2025-01-13,56,27,0.64
2025-01-14,2025-07-16,56,24,-0.42
2025-07-17,2026-01-14,56,24,-2.32
